seq	lat	long
617	-99.08	19.36
618	-99.19	41.717
619	-103.38	20.68
620	-99.13	41.748
621	-99.22	19.285
622	-100.305	25.635
623	-99.145	19.51
624	-99.125	19.305
625	-99.26	19.39
626	-103.355	20.71
627	-99.15	19.49
628	-100.335	25.695
629	-100.325	25.68
630	-100.325	25.66
631	-100.345	25.725
632	-100.325	25.685
633	-99.19	19.38
634	-99.205	19.435
635	-99.225	19.425
636	-99.155	19.545
637	-99.145	19.485
638	-100.31	25.69
639	-103.275	20.68
640	-99.2	19.455
641	-99.17	19.46
642	-99.15	19.51
643	-99.135	19.29
644	-100.29	25.68
645	-103.325	20.555
646	-99.16	19.395
647	-99.09	19.425
648	-100.335	25.655
649	-99.3	19.355
650	-99.165	19.52
651	-99.13	41.778
652	-100.26	25.695
653	-99.16	19.345
654	-99.2	19.41
655	-99.18	19.335
656	-103.395	20.695
657	-99.175	41.778
658	-99.135	19.42
659	-99.145	19.375
660	-99.14	19.475
661	-99.19	19.48
662	-99.155	19.495
663	-99.135	19.38
664	-99.205	19.31
665	-103.355	20.66
666	-103.38	20.69
667	-99.13	19.315
668	-103.385	20.665
669	-100.39	25.72
670	-99.155	19.355
671	-103.28	20.66
672	-103.3	20.69
673	-99.12	41.748
674	-100.3	25.665
675	-99.005	19.195
676	-99.205	19.305
677	-99.235	41.748
678	-100.365	25.715
679	-99.17	19.465
680	-100.315	25.705
681	-100.315	25.685
682	-100.35	41.845
683	-99.095	41.748
684	-99.105	19.435
685	-99.145	19.425
686	-99.295	19.36
687	-103.285	20.645
688	-99.135	19.47
689	-103.37	20.665
690	-99.195	19.49
691	-100.36	25.715
692	-99.265	19.395
693	-99.14	19.395
694	-99.18	19.425
695	-100.28	25.63
696	-103.325	20.71
697	-99.21	19.42
698	-103.355	20.685
699	-99.185	19.31
700	-99.215	41.901
701	-100.39	25.775
702	-103.305	20.69
703	-99.17	19.275
704	-99.135	19.385
705	-99.09	19.51
706	-99.095	19.425
707	-99.08	19.41
708	-99.27	19.365
709	-99.165	41.717
710	-99.215	19.45
711	-99.175	19.365
712	-99.27	19.31
713	-99.185	19.235
714	-103.365	20.65
715	-99.15	19.37
716	-99.135	19.515
717	-99.14	19.41
718	-103.295	20.695
719	-103.365	20.705
720	-99.13	19.475
721	-99.16	19.365
722	-99.13	19.455
723	-103.405	20.67
724	-99.145	41.748
725	-99.16	19.405
726	-99.23	19.475
727	-103.36	20.68
728	-103.38	20.67
729	-99.21	19.49
730	-100.32	25.675
731	-99.11	19.47
732	-100.295	25.645
733	-99.095	19.355
734	-99.205	19.51
